"","id","fonte_dados","data_assinatura","data_limite","duracao_dias","titulo_projeto","status_projeto","valor_contratado","valor_executado_2013_2020","nome_agente_financiador","natureza_agente_financiador","modalidade_financiamento","nome_agente_executor","natureza_agente_executor","uf_ag_executor","regiao_ag_executor","p&d_ou_demonstracao","valor_executado_2013","valor_executado_2014","valor_executado_2015","valor_executado_2016","valor_executado_2017","valor_executado_2018","valor_executado_2019","valor_executado_2020","iea1_1","iea1_2","iea1_3","iea1_4","iea2_1","iea2_2","iea2_3","iea3_1","iea3_2","iea3_3","iea3_4","iea3_5","iea3_6","iea3_7","iea4_1","iea4_2","iea5_1","iea5_2","iea6_1","iea6_2","iea6_3","iea7_1","iea7_2"
"1","Aneel-PD-00390-0003","Aneel",2009-04-07,2017-04-02,2917,"Desenvolvimento de Sistema de Gerenciamento do Ciclo de Vida dos Ativos Operacionais Considerando a Avaliação de Confiabilidade Global Análise de Risco e Dimensionamento da Capacidade das Instalações","CONCLUÍDO",2707609.9,1440593.26870072,"ELETROPAULO METROPOLITANA ELETRICIDADE DE SÃO PAULO S.A.","Empresa Privada",NA,NA,"Empresa Privada",NA,NA,NA,337871.101679808,337871.101679808,337871.101679808,338799.318992115,84467.775419952,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
"2","Aneel-PD-00063-0008","Aneel",2009-06-16,2014-03-14,1732,"MEMBRANAS COMPOSITAS PARA CÉLULAS COMBUSTIVEIS","CONCLUÍDO",6839552,1725683.73210162,"COMPANHIA PAULISTA DE FORÇA E LUZ","Empresa Privada",NA,"COMPANHIA PAULISTA DE FORÇA E LUZ","Empresa Privada","SP","SE",NA,1437411.62124711,284323.177829099,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
"3","Aneel-PD-00063-0012","Aneel",2009-06-16,2014-05-28,1807,"GERAÇÃO DE ENERGIA POR REJEITOS DE BANANEIRAS","CONCLUÍDO",7843361,2222357.95904815,"COMPANHIA PAULISTA DE FORÇA E LUZ","Empresa Privada",NA,"COMPANHIA PAULISTA DE FORÇA E LUZ","Empresa Privada","SP","SE",NA,1579957.61151079,638059.804648589,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"4","Aneel-PD-00063-0006","Aneel",2009-06-16,2013-12-09,1637,"PSQF - Processos de Soluções da Qualidade do Fornecimento","CONCLUÍDO",7376031,1540991.20464264,"COMPANHIA PAULISTA DE FORÇA E LUZ","Empresa Privada",NA,"COMPANHIA PAULISTA DE FORÇA E LUZ","Empresa Privada","SP","SE",NA,1540991.20464264,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"5","Aneel-PD-00063-0022","Aneel",2009-06-18,2013-10-11,1576,"PLANEJAMENTO ESTRATÉGICO DO SISTEMA ELÉTRICO","CONCLUÍDO",1297546,232998.425126904,"COMPANHIA PAULISTA DE FORÇA E LUZ","Empresa Privada",NA,"COMPANHIA PAULISTA DE FORÇA E LUZ","Empresa Privada","SP","SE",NA,232998.425126904,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"6","Aneel-PD-00047-0001","Aneel",2009-07-28,2014-10-08,1898,"Estudo e Desenvolvimento de Isolador Polimérico Modular para a Rede de Distribuição de Energia Elétrica","CONCLUÍDO",1906372,647845.068493151,"COMPANHIA DE ELETRICIDADE DO ESTADO DA BAHIA","Empresa Privada",NA,"COMPANHIA DE ELETRICIDADE DO ESTADO DA BAHIA","Empresa Privada","BA","NE",NA,365605.589041096,281235.068493151,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
"7","Aneel-PD-00047-0005","Aneel",2009-07-29,2013-07-29,1461,"Sistema computacional para Planejamento da Manutenção de Rede de Distribuição","CANCELADO",2722056,389397.470225873,"COMPANHIA DE ELETRICIDADE DO ESTADO DA BAHIA","Empresa Privada",NA,NA,"Empresa Privada",NA,NA,NA,389397.470225873,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"8","Aneel-PD-00383-0010","Aneel",2009-08-20,2013-08-20,1461,"Desenvolvimento de um Transformador Eletrônico para Sistemas Elétricos em Média Tensão-TRED","CANCELADO",2173300,343622.381930185,"AMPLA ENERGIA E SERVIÇOS S.A.","Empresa Privada",NA,NA,"Empresa Privada",NA,NA,NA,343622.381930185,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
"9","Aneel-PD-02866-0003","Aneel",2009-08-25,2015-05-25,2099,"Sistema de Previsão Integrada de Mercado de Energia Elétrica","CONCLUÍDO",4842856,2016510.78799428,"COPEL DISTRIBUIÇÃO S.A.","Empresa Privada",NA,"COPEL DISTRIBUIÇÃO S.A.","Empresa Privada","PR","S",NA,839828.291567413,839828.291567413,332239.763696999,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
"10","Aneel-PD-00385-0009","Aneel",2010-01-11,2013-06-13,1249,"Avaliação da deplexão do aditivo antioxidante no OVI, como ferramenta de manutenção preditiva em equipamentos elétricos e avaliação da migração da umidade no sistema papel Kraft/OVI","CONCLUÍDO",1844199.92,240676.210536429,"ELEKTRO REDES S.A.","Empresa Privada",NA,NA,"Empresa Privada",NA,NA,NA,240676.210536429,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
