"","id","fonte_de_dados","data_assinatura","data_limite","duracao_dias","titulo_projeto","status_projeto","valor_contratado","valor_executado_2013_2020","nome_agente_financiador","natureza_financiamneto","modalidade_financiamento","nome_agente_executor","natureza_agente_executor","uf_ag_executor","regiao_ag_executor","p&d_ou_demonstracao","valor_executado_2013","valor_executado_2014","valor_executado_2015","valor_executado_2016","valor_executado_2017","valor_executado_2018","valor_executado_2019","valor_executado_2020","motor","iea1_1","iea1_2","iea1_3","iea1_4","iea2_1","iea2_2","iea2_3","iea3_1","iea3_2","iea3_3","iea3_4","iea3_5","iea3_6","iea3_7","iea4_1","iea4_2","iea5_1","iea5_2","iea6_1","iea6_2","iea6_3","iea7_1","iea7_2"
"1","Anp-20014-7","Anp",2017-02-03,2019-02-03,730,"Projeto de Desenvolvimento e Avaliação de Aditivos Inteligentes para Estabilização de Asfaltenos",NA,561239.12,561239.12,"PETROBRAS","Privado orientado por política","Reembolsável","USP - Laboratório de Detergentes e Polímeros","Empresa Privada",NA,NA,NA,0,0,0,0,1695.5864652568,1541.86571428571,1541.86571428571,1537.64142465753,"projeto de desenvolvimento e avaliacao de aditivos inteligentes para estabilizacao de asfaltenos ""o objetivo e investigar meios para aumentar o poder de solvencia dos maltenos para inibir a floculacao dos asfaltenos atraves do uso de aditivos """"inteligentes"""". os aditivos serao escolhidas em base de correlacoes estrutura/eficiencia pre-estabelecidas em sistemas modelos. pretende-se empregar aditivos comerciais ou modificados, e suas misturas e incluir nas formulacoes, quando possivel, materia prima brasileira, por exemplo biodiesel, nafta, derivados de tall oil,cardanol e poliglicerois."" recuperacao avancada de petroleo recuperacao melhorada de petroleo",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"2","Anp-20015-4","Anp",2016-12-12,2019-02-12,792,"Caracterização petrofísica multi-escala de reservatórios do pré-sal",NA,2909000.6,2909000.6,"EQUINOR","Privado orientado por política","Reembolsável","EQUINOR","Empresa Privada",NA,NA,NA,0,0,0,153105.294736842,7991.75989010989,7991.75989010989,7991.75989010989,7969.86465753425,"caracterizacao petrofisica multi-escala de reservatorios do pre-sal caracterizar rochas reservatorio do pre-sal usando uma serie de analises nao destrutivas de laboratorio, alem de dados de testemunho e perfis de pocos. isto permitira o estudo da rocha atraves de diferentes metodos de aquisicao em escala de resolucao diferentes, como correlacoes de porosidade e permeabilidade por diferentes metodos e escalas. isto possibilitara a analise de transferencia de escala, como tambem o entendimento da complexidade da distribuicao de poros exploracao - horizonte pre-sal, aguas profundas, bacias maduras e novas fronteiras exploratorias petrofisica, perfilagem de pocos e avaliacao de formacoes",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"3","Anp-20016-2","Anp",2017-01-05,2020-01-05,1095,"Inversão sísmica anisotrópica estocástica de alta resolução direcionada a estimativa de propriedades geomecânicas",NA,2475734.5,2475734.5,"QUEIROZ GALVÃO","Privado orientado por política","Reembolsável","INVISION GEOFISICA LTDA.","Empresa Privada",NA,NA,NA,0,0,0,0,6877.04027777778,6801.46840659341,6801.46840659341,6782.83424657534,"inversao sismica anisotropica estocastica de alta resolucao direcionada a estimativa de propriedades geomecanicas desenvolvimento de metodologia e ferramentas computacionais para a geracao modelos geomecanicos tridimensionais com base na integracao de informacoes de dados sismicos 3d (com ampla cobertura azimutal) e pocos. a metodologia tera como base a formulacao de um problema inverso para a estimativa das tensoes horizontais e modulos elaticos (razao de poisson e modulo de young) utilizando processos estocasticos baseados em cadeia de markov monte carlo. producao - horizonte pre-sal, aguas profundas, campos maduros e novas fronteiras exploratorias geofisica de reservatorio",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"4","Anp-20019-6","Anp",2017-04-13,2020-04-13,1096,"Biossensor com tecnologia de Fibra Óptica Plástica para Diagnóstico Rápido de Bactérias Redutoras de Sulfato",NA,2932841.48,2932841.48,"PETROBRAS","Privado orientado por política","Reembolsável","UFRJ - Laboratório de Instrumentação e Fotônica","Empresa Privada",NA,NA,NA,0,0,0,0,11194.0514503817,8057.25681318681,8057.25681318681,8035.1821369863,"biossensor com tecnologia de fibra optica plastica para diagnostico rapido de bacterias redutoras de sulfato desenvolvimento de sistema de sensoriamento para identificacao em tempo real de bacterias redutoras de sulfato(brs).os metodos tradicionais sao baseados em coletas de amostras e posterior analise em lab inshore. pretende-se desenvolver sensor que seja portatil e tenha resposta imediata e em campo.inicialmente serao desenvolvidos sensores especificos para escherichia coli, com 3 diferentes tecnologias opticas: campo evanescente;tipo lspr; e com fbg. por fim sensores de fibra optica plastica. exploracao - horizonte pre-sal, aguas profundas, bacias maduras e novas fronteiras exploratorias desenvolvimento de equipamentos",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"5","Anp-20008-9","Anp",2016-08-15,2017-06-15,304,"Soluções Submarinas Enxutas para Águas Rasas",NA,118221.6,118221.6,"EQUINOR","Privado orientado por política","Reembolsável","EQUINOR","Empresa Privada",NA,NA,NA,0,0,0,856.678260869565,324.784615384615,324.784615384615,324.784615384615,323.894794520548,"solucoes submarinas enxutas para aguas rasas o mercado de aguas profundas (dw) esta cada vez mais importante para a statoil, o que e mostrado pela operacao de bm-c-33 e a aquisicao da parte da petrobras de bm-s-8. a comercialidade de campos de dw e um desafio para a industria, proibindo o desenvolvimento e a implementacao de tecnologia. um projeto interno se propoe a pesquisar formas de aumentar a competitividade da statoil, permitindo o desenvolvimento de campos submarinos de dw, ate 3000 m, mais enxutos, limpos e modernos. o trabalho se producao - horizonte pre-sal, aguas profundas, campos maduros e novas fronteiras exploratorias tecnicas e equipamentos submarinos de bombeamento",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"6","Anp-20005-5","Anp",2016-03-01,2018-08-01,883,"TAILS - Desenvolvimento de Sistema de Estabilização de Sensor para Possibilitar Detecção de Vazamentos em Ambientes Dinâmicos",NA,7302875.36,7302875.36,"REPSOL","Privado orientado por política","Reembolsável","REPSOL","Empresa Privada",NA,NA,NA,0,0,0,23943.8536393443,20062.8443956044,20062.8443956044,20062.8443956044,20007.8776986301,"tails - desenvolvimento de sistema de estabilizacao de sensor para possibilitar deteccao de vazamentos em ambientes dinamicos o objetivo e desenvolver um prototipo de um sistema de estabilizacao capaz de absorver 90% da dinamica de movimento de embarcacoes flutuantes, i.e fpso. o sistema fara parte de um programa que visa monitorar integridade e detectar vazamentos. assim, atraves do uso de um detector que hoje so funciona de forma estatica, um sistema de estabilizacao sera desenvolvido para o uso do mesmo em ambientes dinamicos, permitindo assim detectar vazamentos de oleo continuamente no mar ao redor de embarcacoes. seguranca e meio ambiente monitoramento e controle de instalacoes onshore e offshore",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"7","Anp-20013-9","Anp",2016-09-21,2018-09-21,730,"INVERSÃO ESTOCÁSTICA MODIFICADA",NA,6854072.07,6854072.07,"PETROGAL","Privado orientado por política","Reembolsável","PETROGAL","Empresa Privada",NA,NA,NA,0,0,0,67862.0997029703,18829.8683241758,18829.8683241758,18829.8683241758,18778.2796438356,"inversao estocastica modificada as duas empresas pretendem desenvolver um projeto de cooperacao com o objetivo de criar uma tecnologia de ¿inversao estocastica modificada¿ e fluxo de trabalho associado. pretende-se com essa tecnologia obter uma solucao que permita melhorar a resolucao das propriedades dos reservatorios, em especial dos reservatorios carbonaticos do pre-sal, combinando processos fundamentais de inversao deterministica (pre-empilhamento) e estocastica. exploracao - horizonte pre-sal, aguas profundas, bacias maduras e novas fronteiras exploratorias tecnicas de aquisicao, processamento e interpretacao de dados geofisicos",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"8","Anp-20004-8","Anp",2016-05-15,2019-11-15,1279,"DESENVOLVIMENTO DE UM SIMULADOR PARA ESCOAMENTO MULTIFÁSICO E GARANTIA DE ESCOAMENTO - ALFA SIM",NA,12115023.33,12115023.33,"PETROGAL","Privado orientado por política","Reembolsável","ENGINEERING SIMULATION AND SCIENTIFIC SOFTWARE LTDA","Empresa Privada",NA,NA,NA,0,0,0,52674.0144782609,33283.0311263736,33283.0311263736,33283.0311263736,33191.844739726,"desenvolvimento de um simulador para escoamento multifasico e garantia de escoamento - alfa sim pretende-se desenvolver um novo simulador, denominado alfa sim (artificial lift and flow assurance simulator), suficientemente flexivel para que os seus utilizadores possam testar novas correlacoes para escoamento multifasico e desenvolver modelos empiricos ajustados as condicoes e situacoes que enfrentam, customizando e adicionando modulos sem depender do desenvolvimento de novas versoes ou de modulos especificos do software por parte do desenvolvedor. engenharia de poco elevacao artificial e escoamento multifasico",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"9","Anp-20006-3","Anp",2016-03-15,2018-01-15,671,"RSB SPEED Fase 3: Modelo computacional destinado à imageamento sísmico 3D para execução em supercomputadores.",NA,5553796.23,5553796.23,"REPSOL","Privado orientado por política","Reembolsável","REPSOL","Empresa Privada",NA,NA,NA,0,0,0,19085.2104123711,15257.6819505495,15257.6819505495,15257.6819505495,15215.8800821918,"rsb speed fase 3: modelo computacional destinado a imageamento sismico 3d para execucao em supercomputadores. desenvolver e testar o prototipo de um modelo computacional escalavel e especifico para execucao em supercomputadores(hpc) destinado a geracao de imagens sismicas com dados 3d, baseados na equacao de onda elastica em dados reais, de sismica realizada na regiao do pre-sal brasileiro, com a finalidade de melhorar a afericao de velocidades da camada de sedimentos do pos-sal e consequente melhor imageamento do reservatorio pre-sal. exploracao - horizonte pre-sal, aguas profundas, bacias maduras e novas fronteiras exploratorias tecnicas de aquisicao, processamento e interpretacao de dados geofisicos",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"10","Anp-20002-2","Anp",2016-07-01,2018-01-01,549,"CYCLOP WP1/3 INFRAESTRUTURA - IMPLANTAÇÃO DE INFRAESTRUTURA LABORATORIAL PARA ESTUDO EXPERIMENTAL E DE MODELAGEM DE BANCO DE CONDENSADO E MÉTODOS DE MITIGAÇÃO",NA,1468498.99,1468498.99,"REPSOL","Privado orientado por política","Reembolsável","PUC-Rio - Laboratório de microhidrodinâmica e escoamento em meios porosos","Empresa Privada",NA,NA,NA,0,0,0,8024.58464480874,4034.33788461538,4034.33788461538,4034.33788461538,4023.28490410959,"cyclop wp1/3 infraestrutura - implantacao de infraestrutura laboratorial para estudo experimental e de modelagem de banco de condensado e metodos de mitigacao melhoria da infraestrutura laboratorial para permitir o estudo fundamental do processo de formacao e escoamento de condensado de gas.  esse estudo permitira a determinacao do efeito de diferentes variaveis nas curvas de permeabilidade relativa das fases liquida e gasosa e o estudo de diferentes estrategias quimicas de mitigacao de problemas que afetam o desempenho da producao em reservatorios com alto potencial de formacao de condensados. exploracao - horizonte pre-sal, aguas profundas, bacias maduras e novas fronteiras exploratorias acumulacoes nao convencionais (unconvencional reservoirs)",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
