"","item","fonte_de_dados","descricao_do_projeto","descricao_do_projeto2","data_assinatura","data_limite","duracao_dias","duracao_meses","duracao_anos","valor_contratado","natureza_do_agente_executor","natureza_do_financiamento","modalidade_do_financiamento","nome_do_agente_Executor","valor_liberado_2013","valor_liberado_2014","valor_liberado_2015","valor_liberado_2016","valor_liberado_2017","valor_liberado_2018","valor_liberado_2019","valor_liberado_2020","valor_liberado_2021","iea1_1","iea1_2","iea1_3","iea1_4","iea2_1","iea2_2","iea2_3","iea3_1","iea3_2","iea3_3","iea3_4","iea3_5","iea3_6","iea3_7","iea4_1","iea4_2","iea5_1","iea5_2","iea6_1","iea6_2","iea6_3","iea7_1","iea7_2"
"1","Bndes-20800411","Bndes","CONTRATACAO DE CREDITO PARA AQUISICAO OU PRODUCAO DE MAQUINAS E EQUIPAMENTOS.","contratacao de credito para aquisicao ou producao de maquinas e equipamentos.",2021-06-28,2027-12-28,2372.5,78,6.5,667886.6,"PRIVADA","-","REEMBOLSÁVEL","S A USINA CORURIPE ACUCAR E ALCOOL",102751.784615385,102751.784615385,102751.784615385,102751.784615385,102751.784615385,102751.784615385,0,0,667886.6,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"2","Bndes-20800271","Bndes","CONTRATACAO DE LIMITE DE CREDITO PARA FINANCIAMENTO A AQUISICAO DE MAQUINAS, EQUIPAMENTOS, MATERIAIS INDUSTRIALIZADOS E/OU DE CAPITAL DE GIRO ASSOCIADO.","contratacao de limite de credito para financiamento a aquisicao de maquinas, equipamentos, materiais industrializados e/ou de capital de giro associado.",2021-06-24,2037-06-24,5840,192,16,644345,"PRIVADA","RECURSOS LIVRES - PRÓPRIOS","REEMBOLSÁVEL","WD AGROINDUSTRIAL LTDA",40271.5625,40271.5625,40271.5625,40271.5625,40271.5625,40271.5625,40271.5625,40271.5625,644345,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"3","Bndes-20800341","Bndes","CONTRATACAO DE LIMITE DE CREDITO PARA FINANCIAMENTO A AQUISICAO DE MAQUINAS, EQUIPAMENTOS, MATERIAIS INDUSTRIALIZADOS E/OU DE CAPITAL DE GIRO ASSOCIADO, BEM COMO COMERCIALIZACAO OUPRODUCAO DE MAQUINAS E EQUIPAMENTOS.","contratacao de limite de credito para financiamento a aquisicao de maquinas, equipamentos, materiais industrializados e/ou de capital de giro associado, bem como comercializacao ouproducao de maquinas e equipamentos.",2021-05-27,2037-05-27,5840,192,16,747500,"PRIVADA","-","REEMBOLSÁVEL","SCHULZ COMPRESSORES LTDA",46718.75,46718.75,46718.75,46718.75,46718.75,46718.75,46718.75,46718.75,747500,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"4","Bndes-20800021","Bndes","CONTRATACAO DE CREDITO PARA AQUISICAO DE MAQUINAS E EQUIPAMENTOS.","contratacao de credito para aquisicao de maquinas e equipamentos.",2021-02-08,2037-02-08,5840,192,16,156000,"PRIVADA","-","REEMBOLSÁVEL","USINA CERRADAO LTDA",9750,9750,9750,9750,9750,9750,9750,9750,156000,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"5","Bndes-20800021","Bndes","CONTRATACAO DE CREDITO PARA AQUISICAO DE MAQUINAS E EQUIPAMENTOS.","contratacao de credito para aquisicao de maquinas e equipamentos.",2021-02-08,2037-02-08,5840,192,16,1101056.87,"PRIVADA","-","REEMBOLSÁVEL","USINA CERRADAO LTDA",68816.054375,68816.054375,68816.054375,68816.054375,68816.054375,68816.054375,68816.054375,68816.054375,1101056.87,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"6","Bndes-20902581","Bndes","INVESTIMENTO EM PESQUISA E DESENVOLVIMENTO NO AMBITO DO BNDES-FUNTTEL.","investimento em pesquisa e desenvolvimento no ambito do bndes-funttel.",2021-01-26,2023-07-26,912.5,30,2.5,20000000,"PRIVADA","-","REEMBOLSÁVEL","TERACOM TELEMATICA S.A.",8000000,8000000,0,0,0,0,0,0,20000000,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"7","Bndes-20800281","Bndes","LIMITE DE CREDITO PARA FINANCIAMENTO A AQUISICAO DE MAQUINAS, EQUIPAMENTOS, MATERIAIS INDUSTRIALIZADOS E/OU DE CAPITAL DE GIRO ASSOCIADO.","limite de credito para financiamento a aquisicao de maquinas, equipamentos, materiais industrializados e/ou de capital de giro associado.",2021-01-19,2028-01-19,2555,84,7,8932732.26,"PRIVADA","-","REEMBOLSÁVEL","VETORE IND E COM DE AUTOPECAS LTDA",1276104.60857143,1276104.60857143,1276104.60857143,1276104.60857143,1276104.60857143,1276104.60857143,1276104.60857143,0,8932732.26,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"8","Bndes-20204671","Bndes","A) PLANO DE INVESTIMENTOS EM INOVACOES DE PROCESSOS NAS QUATRO USINAS DO GRUPO SAO MARTINHO, SITUADAS EM PRADOPOLIS/SP, AMERICO BRASILENSE/SP, IRACEMAPOLIS/SP E QUIRINOPOLIS/ GO   C) CONSTRUCAO DE SILOS PARA ARMAZENAGEM DE MILHO E DDG1, NA PLANTA DE ETANOL DE MILHO EM QUIRINOPOLIS/GO","a) plano de investimentos em inovacoes de processos nas quatro usinas do grupo sao martinho, situadas em pradopolis/sp, americo brasilense/sp, iracemapolis/sp e quirinopolis/ go   c) construcao de silos para armazenagem de milho e ddg1, na planta de etanol de milho em quirinopolis/go",2020-12-29,2032-12-29,4380,144,12,88000000,"PRIVADA","-","REEMBOLSÁVEL","SAO MARTINHO S/A",7333333.33333333,7333333.33333333,7333333.33333333,7333333.33333333,7333333.33333333,7333333.33333333,7333333.33333333,88000000,7333333.33333333,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"9","Bndes-20204671","Bndes","B) IMPLANTACAO DE PLANTA DE ETANOL DE MILHO NA USINA BOA VISTA EM QUIRINOPOLIS/GO, COM CAPACIDADE DE PRODUCAO DE ATE 209MIL M DE ETANOL ANIDRO POR ANO.","b) implantacao de planta de etanol de milho na usina boa vista em quirinopolis/go, com capacidade de producao de ate 209mil m de etanol anidro por ano.",2020-12-29,2040-12-29,7300,240,20,50033000,"PRIVADA","-","REEMBOLSÁVEL","SAO MARTINHO S/A",2501650,2501650,2501650,2501650,2501650,2501650,2501650,50033000,2501650,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"10","Bndes-20800261","Bndes","CONTRATACAO DE LIMITE DE CREDITO PARA FINANCIAMENTO A AQUISICAO DE MAQUINAS, EQUIPAMENTOS, MATERIAIS INDUSTRIALIZADOS E/OU DE CAPITAL DE GIRO ASSOCIADO.","contratacao de limite de credito para financiamento a aquisicao de maquinas, equipamentos, materiais industrializados e/ou de capital de giro associado.",2020-12-11,2036-12-11,5840,192,16,147189.05,"PRIVADA","RECURSOS LIVRES - FAT","REEMBOLSÁVEL","WD AGROINDUSTRIAL LTDA",9199.315625,9199.315625,9199.315625,9199.315625,9199.315625,9199.315625,9199.315625,147189.05,9199.315625,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
