;;Superintendência de Pesquisa e Desenvolvimento Tecnológico - SPD;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;Relação de Projetos de PD&I (Regulamento Técnico ANP Nº 03/2015);;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
Nº ANP;TITULO;EMPRESA PETROLÍFERA RESPONSÁVEL;QUALIFICAÇÃO;OBJETIVO;ÁREA;TEMA;SUBTEMA;EXECUTOR 1;EXECUTOR 2;EXECUTOR 3;EXECUTOR 4;EXECUTOR 5;Nº AUTORIZAÇÃO;DATA INÍCIO;PRAZO DE EXECUÇÃO (MESES);VALOR CLAUSULA
20014-7;Projeto de Desenvolvimento e Avaliação de Aditivos Inteligentes para Estabilização de Asfaltenos;PETROBRAS;PESQUISA APLICADA;"O objetivo é investigar meios para aumentar o poder de solvência dos maltenos para inibir a floculação dos asfaltenos através do uso de aditivos ""inteligentes"". Os aditivos serão escolhidas em base de correlações estrutura/eficiência pré-estabelecidas em sistemas modelos. Pretende-se empregar aditivos comerciais ou modificados, e suas misturas e incluir nas formulações, quando possível, matéria prima brasileira, por exemplo biodiesel, nafta, derivados de tall oil,cardanol e poligliceróis.";EXPLORAÇÃO E PRODUÇÃO DE PETRÓLEO E GÁS NATURAL - ONSHORE E OFFSHORE;RECUPERAÇÃO AVANÇADA DE PETRÓLEO;RECUPERAÇÃO MELHORADA DE PETRÓLEO;USP - Laboratório de Detergentes e Polímeros;;;;;;03/02/2017;24;R$ 561.239,12
20015-4;Caracterização petrofísica multi-escala de reservatórios do pré-sal;EQUINOR;PESQUISA APLICADA;Caracterizar rochas reservatório do pré-sal usando uma série de análises não destrutivas de laboratório, além de dados de testemunho e perfis de poços. Isto permitirá o estudo da rocha através de diferentes métodos de aquisição em escala de resolução diferentes, como correlações de porosidade e permeabilidade por diferentes métodos e escalas. Isto possibilitará a análise de transferência de escala, como também o entendimento da complexidade da distribuição de poros;EXPLORAÇÃO E PRODUÇÃO DE PETRÓLEO E GÁS NATURAL - ONSHORE E OFFSHORE;EXPLORAÇÃO - HORIZONTE PRÉ-SAL, ÁGUAS PROFUNDAS, BACIAS MADURAS E NOVAS FRONTEIRAS EXPLORATÓRIAS;PETROFÍSICA, PERFILAGEM DE POÇOS E AVALIAÇÃO DE FORMAÇÕES;EQUINOR;UNICAMP  - Centro de Estudos de Petróleo - CEPETRO;;;;;12/12/2016;26;R$ 2.909.000,60
20016-2;Inversão sísmica anisotrópica estocástica de alta resolução direcionada a estimativa de propriedades geomecânicas;QUEIROZ GALVÃO;PESQUISA APLICADA;Desenvolvimento de metodologia e ferramentas computacionais para a geração modelos geomecânicos tridimensionais com base na integração de informações de dados sísmicos 3D (com ampla cobertura azimutal) e poços. A metodologia terá como base a formulação de um problema inverso para a estimativa das tensões horizontais e módulos eláticos (razão de Poisson e módulo de Young) utilizando processos estocásticos baseados em Cadeia de Markov Monte Carlo.;EXPLORAÇÃO E PRODUÇÃO DE PETRÓLEO E GÁS NATURAL - ONSHORE E OFFSHORE;PRODUÇÃO - HORIZONTE PRÉ-SAL, ÁGUAS PROFUNDAS, CAMPOS MADUROS E NOVAS FRONTEIRAS EXPLORATÓRIAS;GEOFÍSICA DE RESERVATÓRIO;INVISION GEOFISICA LTDA.;;;;;;05/01/2017;36;R$ 2.475.734,50
20019-6;Biossensor com tecnologia de Fibra Óptica Plástica para Diagnóstico Rápido de Bactérias Redutoras de Sulfato;PETROBRAS;PESQUISA APLICADA;"Desenvolvimento de sistema de sensoriamento para identificação em tempo real de bactérias redutoras de sulfato(BRS).Os métodos tradicionais são baseados em coletas de amostras e posterior análise em lab inshore. Pretende-se desenvolver sensor que seja portátil e tenha resposta imediata e em campo.Inicialmente serão desenvolvidos sensores específicos para Escherichia coli, com 3 diferentes tecnologias ópticas: campo evanescente;tipo LSPR; e com FBG. Por fim sensores de Fibra Óptica Plástica.";EXPLORAÇÃO E PRODUÇÃO DE PETRÓLEO E GÁS NATURAL - ONSHORE E OFFSHORE;EXPLORAÇÃO - HORIZONTE PRÉ-SAL, ÁGUAS PROFUNDAS, BACIAS MADURAS E NOVAS FRONTEIRAS EXPLORATÓRIAS;DESENVOLVIMENTO DE EQUIPAMENTOS;UFRJ - Laboratório de Instrumentação e Fotônica;;;;;;13/04/2017;36;R$ 2.932.841,48
20008-9;Soluções Submarinas Enxutas para Águas Rasas;EQUINOR;PESQUISA APLICADA;O mercado de águas profundas (DW) está cada vez mais importante para a Statoil, o que é mostrado pela operação de BM-C-33 e a aquisição da parte da Petrobras de BM-S-8. A comercialidade de campos de DW é um desafio para a indústria, proibindo o desenvolvimento e a implementação de tecnologia. Um projeto interno se propõe a pesquisar formas de aumentar a competitividade da Statoil, permitindo o desenvolvimento de campos submarinos de DW, até 3000 m, mais enxutos, limpos e modernos. O trabalho se;EXPLORAÇÃO E PRODUÇÃO DE PETRÓLEO E GÁS NATURAL - ONSHORE E OFFSHORE;PRODUÇÃO - HORIZONTE PRÉ-SAL, ÁGUAS PROFUNDAS, CAMPOS MADUROS E NOVAS FRONTEIRAS EXPLORATÓRIAS;TÉCNICAS E EQUIPAMENTOS SUBMARINOS DE BOMBEAMENTO;EQUINOR;;;;;;15/08/2016;10;R$ 118.221,60
20005-5;TAILS - Desenvolvimento de Sistema de Estabilização de Sensor para Possibilitar Detecção de Vazamentos em Ambientes Dinâmicos;REPSOL;PROTÓTIPO OU UNIDADE PILOTO;O objetivo é desenvolver um protótipo de um sistema de estabilização capaz de absorver 90% da dinâmica de movimento de embarcações flutuantes, i.e FPSO. O sistema fará parte de um programa que visa monitorar integridade e detectar vazamentos. Assim, através do uso de um detector que hoje só funciona de forma estática, um sistema de estabilização será desenvolvido para o uso do mesmo em ambientes dinâmicos, permitindo assim detectar vazamentos de Óleo continuamente no mar ao redor de embarcações.;TEMAS TRANSVERSAIS;SEGURANÇA E MEIO AMBIENTE;MONITORAMENTO E CONTROLE DE INSTALAÇÕES ONSHORE E OFFSHORE;REPSOL;13ROBOTICS ROBOTICA LTDA - ME;UFRJ - GSCAR - Grupo de Simulação e Controle em Automação e Robótica;;;;01/03/2016;29;R$ 7.302.875,36
20013-9;INVERSÃO ESTOCÁSTICA MODIFICADA;PETROGAL;PESQUISA APLICADA;As duas empresas pretendem desenvolver um projeto de cooperação com o objetivo de criar uma tecnologia de ¿Inversão Estocástica Modificada¿ e fluxo de trabalho associado. Pretende-se com essa tecnologia obter uma solução que permita melhorar a resolução das propriedades dos reservatórios, em especial dos reservatórios carbonáticos do pré-sal, combinando processos fundamentais de inversão determinística (pré-empilhamento) e estocástica.;EXPLORAÇÃO E PRODUÇÃO DE PETRÓLEO E GÁS NATURAL - ONSHORE E OFFSHORE;EXPLORAÇÃO - HORIZONTE PRÉ-SAL, ÁGUAS PROFUNDAS, BACIAS MADURAS E NOVAS FRONTEIRAS EXPLORATÓRIAS;TÉCNICAS DE AQUISIÇÃO, PROCESSAMENTO E INTERPRETAÇÃO DE DADOS GEOFÍSICOS;PETROGAL;PARADIGM GEOPHYSICAL;;;;;21/09/2016;24;R$ 6.854.072,07
20004-8;DESENVOLVIMENTO DE UM SIMULADOR PARA ESCOAMENTO MULTIFÁSICO E GARANTIA DE ESCOAMENTO - ALFA SIM;PETROGAL;PESQUISA APLICADA;Pretende-se desenvolver um novo simulador, denominado ALFA Sim (Artificial Lift and Flow Assurance Simulator), suficientemente flexível para que os seus utilizadores possam testar novas correlações para escoamento multifásico e desenvolver modelos empíricos ajustados às condições e situações que enfrentam, customizando e adicionando módulos sem depender do desenvolvimento de novas versões ou de módulos específicos do software por parte do desenvolvedor.;EXPLORAÇÃO E PRODUÇÃO DE PETRÓLEO E GÁS NATURAL - ONSHORE E OFFSHORE;ENGENHARIA DE POÇO;ELEVAÇÃO ARTIFICIAL E ESCOAMENTO MULTIFÁSICO;ENGINEERING SIMULATION AND SCIENTIFIC SOFTWARE LTDA;PETROGAL;;;;;15/05/2016;42;R$ 12.115.023,33
