Nº PROJETO;TÍTULO;EMPRESA PETROLÍFERA;DATA DE INÍCIO;DATA DE TÉRMINO;EMPRESA BRASILEIRA EXECUTORA;INSTITUIÇÃO CREDENCIADA EXECUTORA;AUTORIZAÇÃO;DATA DE PUBLICAÇÃO
10002-4;Bombeamento Multifásico Submarino;Petrobras;01/09/1992;26/04/2008;-;-;-;-
10003-2;Bombeamento Multifasico Submarino - SBMS-500;Petrobras;01/09/1992;30/12/2014;-;-;-;-
10004-0;UTILIZAÇÃO DE BOMBEIO CENTRÍFUGO SUBMARINO - BCS EM POÇOS SUBMARINOS;Petrobras;01/09/1992;01/12/1998;-;-;-;-
10005-7;SISTEMA DE SEPARAÇÃO SUBMARINA;Petrobras;01/09/1992;01/05/2004;-;-;-;-
10006-5;CLARIFICAÇÃO DE RESÍDUOS OLEOSOS;Petrobras;01/07/1993;01/05/1999;-;-;-;-
10007-3;EFICIÊNCIA DA INJEÇÃO DE ÁGUA;Petrobras;01/09/1993;01/12/1998;-;-;-;-
10008-1;CARACTERIZAÇÃO GEOLÓGICA AVANÇADA DE RESERVATÓRIO;Petrobras;01/09/1993;01/12/1998;-;-;-;-
10009-9;RECUPERAÇÃO DE ÓLEOS PESADOS;Petrobras;01/09/1993;01/12/1998;-;-;-;-
10010-7;RECUPERAÇÃO DE PETRÓLEO EM CARBONATOS DE BAIXA PERMEABILIDADE;Petrobras;01/09/1993;01/12/1998;-;-;-;-
10011-5;ASFALTO MODIFICADO POR POLÍMEROS;Petrobras;01/10/1993;01/12/1998;-;-;-;-
10012-3;AVALIAÇÃO EM SERVIÇO DO CAP20 MARLIM-REVAP NA BANDEIRANTES;Petrobras;01/03/1994;01/12/2000;-;-;-;-
10013-1;OTIMIZAÇÃO DOS PROCESSOS FÍSICO-QUÍMICO DE TRATAMENTO DE ÁGUAS OLEOSAS;Petrobras;01/05/1994;01/12/1998;-;-;-;-
10014-9;BIODESSULFURIZAÇÃO DE PETRÓLEO RESÍDUOS E DERIVADOS;Petrobras;01/07/1994;01/12/1998;-;-;-;-
10015-6;OTIMIZAÇÃO DE CATALISADORES DE HIDROCONVERSÃO;Petrobras;01/07/1994;01/12/1999;-;-;-;-
10016-4;PLUGUEAMENTO SELETIVO POR MICROORGANISMOS;Petrobras;01/08/1994;01/04/1999;-;-;-;-
10017-2;OTIMIZAÇÃO DE CICLONES;Petrobras;01/08/1994;01/08/1996;-;-;-;-
10018-0;CATALISADORES PARA FCC DE RESÍDUO;Petrobras;01/09/1994;01/08/1999;-;-;-;-
10019-8;RECUPERAÇÃO DE HIDROGÊNIO DAS CORRENTES DE REFINARIA COM BAIXA CONCENTRAÇÃO;Petrobras;01/09/1994;01/12/1998;-;-;-;-
10020-6;OTIMIZAÇÃO  DO TRATAMENTO DE INCRUSTAÇÕES NOS SISTEMAS DE PRODUÇÃO;Petrobras;01/10/1994;01/12/1998;-;-;-;-
10021-4;DESENVOLVIMENTO DE CATALISADORES;Petrobras;01/01/1995;01/12/1998;-;-;-;-
10022-2;HIDROPIRÓLISE PARA CONVERSÃO DE RESÍDUOS;Petrobras;01/02/1995;01/12/1998;-;-;-;-
10023-0;MONTAGEM DA UNIDADE PILOTO DE HIDROGENAÇÃO HC-5;Petrobras;01/04/1995;01/12/1998;-;-;-;-
10024-8;DESENVOLVIMENTO PROCESSOS DE ALQUILAÇÃO COM CATALISADORES SÓLIDOS;Petrobras;01/04/1995;01/12/1998;-;-;-;-
10025-5;AVALIAÇÃO DE DANOS EM LINHAS FLEXÍVEIS;Petrobras;01/05/1995;01/12/1998;-;-;-;-
10026-3;OTIMIZAÇÃO DO PROCESSAMENTO PRIMÁRIO OFFSHORE;Petrobras;01/07/1995;01/01/1999;-;-;-;-
10027-1;QUALIDADE DE QAV-1 COM RELAÇÃO A LUBRICIDADE;Petrobras;01/07/1995;01/04/2000;-;-;-;-
10028-9;BIODESNITROGENAÇÃO DE COMBUSTÍVEIS FÓSSEIS;Petrobras;01/10/1995;01/12/1998;-;-;-;-
10029-7;GASEIFICAÇÃO CATALÍTICA DE RASF;Petrobras;01/11/1995;01/09/1999;-;-;-;-
10030-5;GEOFÍSICA APLICADA AO DESENVOVIMENTO DO CAMPO DE FAZENDA ALVORADA;Petrobras;01/01/1996;01/04/2000;-;-;-;-
10031-3;APERFEIÇOAMENTO DE RISER DE FCC;Petrobras;01/01/1996;01/07/2002;-;-;-;-
10032-1;INSTALAÇÃO DE UM PROTÓTIPO DO PACKINOX NA REGAP;Petrobras;01/01/1996;01/04/1999;-;-;-;-
10033-9;SOLIDIFICAÇÃO DE FLUIDO DE PERFURAÇÃO COM ESCORIA;Petrobras;01/03/1996;01/11/1998;-;-;-;-
10034-7;DETERMINAÇÃO DE ATRITO EM CATALISADORES DE FCC;Petrobras;01/03/1996;01/11/1998;-;-;-;-
10035-4;ESTACA TIPO TORPEDO PARA FIXAÇÃO COM SISTEMA DE ANCORAGEM;Petrobras;01/03/1996;01/01/2000;-;-;-;-
10036-2;ASSISTÊNCIA TÉCNICA A CONVERSÃO DO HENRIQUE DIAS;Petrobras;01/03/1996;01/11/1998;-;-;-;-
10037-0;DESENVOLVIMENTO  DO ÓLEO ISOLANTE NAFTÊNICO NACIONAL;Petrobras;01/05/1996;01/12/1998;-;-;-;-
10038-8;MODELAGEM DE AQUIFEROS CONTAMINADOS POR DERIVADOS;Petrobras;01/06/1996;01/04/1999;-;-;-;-
10039-6;ASSISTÊNCIA TÉCNICA AO  PROJETO EXECUTIVO JOSÉ BONIFÁCIO;Petrobras;01/06/1996;01/07/1999;-;-;-;-
10040-4;CARACTERIZAÇÃO AVANÇADA DE CARGAS PESADAS P/FCC;Petrobras;01/07/1996;01/08/2000;-;-;-;-
10041-2;FERROGRAFIA NOS COMPRESSORES TC-A E TC-B DA P-07;Petrobras;01/07/1996;01/11/1998;-;-;-;-
10042-0;CREDENCIAMENTO DO LEV PARA ENSAIOS DE EMISSÕES;Petrobras;01/07/1996;01/12/1999;-;-;-;-
10043-8;ZEÓLITAS COM MAIOR ACESSIBILIDADE;Petrobras;01/07/1996;01/12/1998;-;-;-;-
10044-6;ASSISTÊNCIA TÉCNICA AO PROJETO  EXECUTIVO, CONSTRUÇÃO, MONTAGEM, INSTALAÇÃO E  PRÉ-OPERAÇÃO DA P-27;Petrobras;01/07/1996;01/11/1998;-;-;-;-
10045-3;ZEÓLITO PARA CATALISADORES DE RESÍDUO;Petrobras;01/08/1996;01/01/2000;-;-;-;-
10046-1;TOMOGRAFIA SÍSMICA POÇO-A- POÇO;Petrobras;01/09/1996;01/01/2000;-;-;-;-
10047-9;CREDENCIAMENTO DE ENSAIOS DE EMISSÕES EM MOTORES;Petrobras;01/09/1996;01/12/2000;-;-;-;-
