Arquivo;CodProj;Data de Início;Ano de início;Data de Conclusão;Ano de Conclusão;CNPJ Pagador;Entidade Pagadora;Tipo de Entidade Pagadora;Unid. Federativa Pagadora;Região Pagadora;CNPJ Beneficiário;Entidade Beneficiária;Tipo de Entidade Beneficiária;Unid. Federativa Beneficiária;Região Beneficiária;Tipo de Custo;Source;Recursos Humanos;Serviço de Terceiros;Viagens e Diárias;Outras despesas;Material de Consumo;Material Permanente;Custo Total
APLPED00026_RELATORIOAUDITORIAPED_2017_S01.XML;PD-00026-2017;;;;;04065033000170;ENERGISA ACRE - DISTRIBUIDORA DE ENERGIA S.A;Proponente;AC;Norte;04065033000170;ENERGISA ACRE - DISTRIBUIDORA DE ENERGIA S.A;Proponente;AC;Norte;Custo Próprio;Custo;;;$0,00;;;;$0,00
APLPED00032_RELATORIOAUDITORIAPED_1510_S01.XML;PD-00032-1510;;;;;25086034000171;ENERGISA TOCANTINS DISTRIBUIDORA DE ENERGIA S.A.;Proponente;TO;Norte;25086034000171;ENERGISA TOCANTINS DISTRIBUIDORA DE ENERGIA S.A.;Proponente;TO;Norte;Custo Próprio;Custo;;$103.863,36;$86.415,27;$3.205,65;$61,73;$140.509,81;$334.055,82
APLPED00032_RELATORIOAUDITORIAPED_1510_S01.XML;PD-00032-1510;;;;;03467321000199;ENERGISA MATO GROSSO-DISTRIBUIDORA DE ENERGIA S.A;Cooperada;MT;Centro Oeste;03467321000199;ENERGISA MATO GROSSO-DISTRIBUIDORA DE ENERGIA S.A;Cooperada;MT;Centro Oeste;Custo Próprio;Custo;;;;$26.685,18;;;$26.685,18
APLPED00032_RELATORIOAUDITORIAPED_1510_S01.XML;PD-00032-1510;;;;;19527639000158;ENERGISA MINAS GERAIS - DISTRIBUIDORA DE ENERGIA S.A.;Cooperada;MG;Sudeste;19527639000158;ENERGISA MINAS GERAIS - DISTRIBUIDORA DE ENERGIA S.A.;Cooperada;MG;Sudeste;Custo Próprio;Custo;;;$1.858,43;$4.324,08;;;$6.182,51
APLPED00032_RELATORIOAUDITORIAPED_1510_S01.XML;PD-00032-1510;;;;;09095183000140;ENERGISA PARAÍBA - DISTRIBUIDORA DE ENERGIA S.A;Cooperada;PB;Nordeste;09095183000140;ENERGISA PARAÍBA - DISTRIBUIDORA DE ENERGIA S.A;Cooperada;PB;Nordeste;Custo Próprio;Custo;;;;$4.324,08;;;$4.324,08
APLPED00032_RELATORIOAUDITORIAPED_1510_S01.XML;PD-00032-1510;;;;;13017462000163;ENERGISA SERGIPE - DISTRIBUIDORA DE ENERGIA S.A;Cooperada;SE;Nordeste;13017462000163;ENERGISA SERGIPE - DISTRIBUIDORA DE ENERGIA S.A;Cooperada;SE;Nordeste;Custo Próprio;Custo;$2.898,33;$70,00;$111,60;$20.320,72;;$225.631,65;$249.032,30
APLPED00037_RELATORIOAUDITORIAPED_0019_S04.xml;PD-00037-0019;;;;;06272793000184;COMPANHIA ENERGÉTICA DO MARANHÃO;Proponente;MA;Nordeste;02279806000196;Daimon Engenharia e Sistemas;Executora;SP;Sudeste;Custo com Executoras;Custo;$1.168.560,00;;$80.093,49;;;;$1.248.653,49
APLPED00037_RELATORIOAUDITORIAPED_0019_S04.xml;PD-00037-0019;;;;;06272793000184;COMPANHIA ENERGÉTICA DO MARANHÃO;Proponente;MA;Nordeste;06272793000184;COMPANHIA ENERGÉTICA DO MARANHÃO;Proponente;MA;Nordeste;Custo Próprio;Custo;$0,00;$169.957,72;$8.610,16;$625,00;;$113.862,21;$293.055,09
APLPED00037_RELATORIOAUDITORIAPED_0022_S01.XML;PD-00037-0022;;;;;06272793000184;COMPANHIA ENERGÉTICA DO MARANHÃO;Proponente;MA;Nordeste;06272793000184;COMPANHIA ENERGÉTICA DO MARANHÃO;Proponente;MA;Nordeste;Custo Próprio;Custo;;$8.280,00;;;;$8.582,00;$16.862,00
APLPED00039_RELATORIOAUDITORIAPED_0044_S01.XML;PD-00039-0044;;;;;07047251000170;COMPANHIA ENERGÉTICA DO CEARÁ;Proponente;CE;Nordeste;07047251000170;COMPANHIA ENERGÉTICA DO CEARÁ;Proponente;CE;Nordeste;Custo Próprio;Custo;$4.670,16;$31.866,58;;$1.000,00;$3.381,51;$109.999,62;$150.917,87
APLPED00039_RELATORIOAUDITORIAPED_0068_S01.XML;PD-00039-0068;;;;;07047251000170;COMPANHIA ENERGÉTICA DO CEARÁ;Proponente;CE;Nordeste;07047251000170;COMPANHIA ENERGÉTICA DO CEARÁ;Proponente;CE;Nordeste;Custo Próprio;Custo;;$41.770,27;$1.970,18;$1.630,00;$829,94;;$46.200,39
APLPED00039_RELATORIOAUDITORIAPED_0071_S01.XML;PD-00039-0071;;;;;07047251000170;COMPANHIA ENERGÉTICA DO CEARÁ;Proponente;CE;Nordeste;07047251000170;COMPANHIA ENERGÉTICA DO CEARÁ;Proponente;CE;Nordeste;Custo Próprio;Custo;;;;$1.200,00;;;$1.200,00
APLPED00039_RELATORIOAUDITORIAPED_0073_S03.XML;PD-00039-0073;;;;;07047251000170;COMPANHIA ENERGÉTICA DO CEARÁ;Proponente;CE;Nordeste;07047251000170;COMPANHIA ENERGÉTICA DO CEARÁ;Proponente;CE;Nordeste;Custo Próprio;Custo;$15.616,04;;;$7.805,94;;;$23.421,98
APLPED00040_RELATORIOAUDITORIAPED_0022_S01.XML;PD-00040-0022;;;;;08324196000181;COMPANHIA ENERGÉTICA DO RIO GRANDE DO NORTE COSERN;Proponente;RN;Nordeste;08324196000181;COMPANHIA ENERGÉTICA DO RIO GRANDE DO NORTE COSERN;Proponente;RN;Nordeste;Custo Próprio;Custo;$131.443,70;;$5.677,71;;;;$137.121,41
APLPED00040_RELATORIOAUDITORIAPED_0022_S01.XML;PD-00040-0022;;;;;15139629000194;COMPANHIA DE ELETRICIDADE DO ESTADO DA BAHIA;Cooperada;BA;Nordeste;15139629000194;COMPANHIA DE ELETRICIDADE DO ESTADO DA BAHIA;Cooperada;BA;Nordeste;Custo Próprio;Custo;$136.852,95;;$5.371,75;;;;$142.224,70
APLPED00043_RELATORIOAUDITORIAPED_0116_S03.XML;PD-00043-0116;;;;;10835932000108;COMPANHIA ENERGÉTICA DE PERNAMBUCO;Proponente;PE;Nordeste;10835932000108;COMPANHIA ENERGÉTICA DE PERNAMBUCO;Proponente;PE;Nordeste;Custo Próprio;Custo;$240.894,05;$0,00;$0,00;$700,00;$800,00;$0,00;$242.394,05
APLPED00043_RELATORIOAUDITORIAPED_0116_S03.XML;PD-00043-0116;;;;;15139629000194;COMPANHIA DE ELETRICIDADE DO ESTADO DA BAHIA;Cooperada;BA;Nordeste;15139629000194;COMPANHIA DE ELETRICIDADE DO ESTADO DA BAHIA;Cooperada;BA;Nordeste;Custo Próprio;Custo;$11.971,68;$0,00;$0,00;$0,00;$0,00;$0,00;$11.971,68
