CodProj;Ano Carregamento;Recursos Humanos;Viagens e Diárias;Outras despesas;Material de Consumo;Material Permanente;Serviço de Terceiros;Custo Total Previsto
PD-00026-0002;2010;;$71.529,00;$18.105,00;;;;$89.634,00
PD-00026-0111;2017;$97.200,00;$50.000,00;;$3.200,00;$151.850,00;$16.000,00;$318.250,00
PD-00026-0113;2013;$473.400,00;$30.000,00;$94.536,00;$33.600,00;$60.000,00;$158.800,00;$850.336,00
PD-00026-0116;2016;$1.550.400,00;$113.620,00;$199.362,00;$175.000,00;$133.500,00;$135.000,00;$2.306.882,00
PD-00026-0211;2011;$679.340,00;$32.500,00;;;;$22.000,00;$733.840,00
PD-00026-0411;2011;$249.330,00;$20.040,00;$21.212,10;$43.968,00;;$110.904,00;$445.454,10
PD-00026-1913;2019;$3.901.032,00;$677.304,00;$2.795.804,50;$30.600,00;$6.125.201,00;$849.320,00;$14.379.261,50
PD-00031-0001;2015;$585.000,00;$22.000,00;;$2.000,00;$32.000,00;$68.500,00;$709.500,00
PD-00031-0002;2015;$604.800,00;$26.300,00;;$5.000,00;$12.800,00;$97.450,00;$746.350,00
PD-00031-0003;2015;$244.800,00;$15.400,00;;$23.000,00;$15.000,00;$61.110,00;$359.310,00
PD-00031-0004;2015;$257.220,00;$10.000,00;;$25.000,00;;$71.022,00;$363.242,00
PD-00031-0005;2018;$1.565.208,00;$203.080,00;;$16.676,00;$465.316,16;$249.719,92;$2.500.000,08
PD-00032-0001;2011;$983.425,00;$21.000,00;;;;;$1.004.425,00
PD-00032-0002;2012;$965.400,00;$119.400,00;$225.125,00;$12.000,00;$66.000,00;$845.000,00;$2.232.925,00
PD-00032-1509;2015;$1.287.856,00;$72.300,00;$63.200,00;;;;$1.423.356,00
PD-00032-1510;2015;$4.886.138,00;$200.000,00;$244.554,96;;$402.000,00;$500.000,00;$6.232.692,96
PD-00032-1513;2015;$1.953.340,00;$145.000,00;$1.143.360,00;;$180.000,00;$300.000,00;$3.721.700,00
PD-00032-1704;2017;$2.011.200,00;$121.108,00;$200.784,56;;$1.350.810,00;;$3.683.902,56
