"","item","fonte_de_dados","titulo","titulo2","data_assinatura","data_limite","duracao_dias","duracao_meses","duracao_anos","valor_contratado","natureza_do_agente_executor","natureza_do_financiamento","modalidade_do_financiamento","nome_do_agente_Executor","valor_liberado_2013","valor_liberado_2014","valor_liberado_2015","valor_liberado_2016","valor_liberado_2017","valor_liberado_2018","valor_liberado_2019","valor_liberado_2020","valor_liberado_2021","iea1_1","iea1_2","iea1_3","iea1_4","iea2_1","iea2_2","iea2_3","iea3_1","iea3_2","iea3_3","iea3_4","iea3_5","iea3_6","iea3_7","iea4_1","iea4_2","iea5_1","iea5_2","iea6_1","iea6_2","iea6_3","iea7_1","iea7_2"
"1","Finep-02.04.0466.00","Finep","TERRA VIVA BIOTECNOLOGIA","terra viva biotecnologia",2004-10-18,2006-10-18,730,23.9835728952772,1,263465,"Empresa Privada","Privado orientado por política","Reembolsável","KLAAS SCHOENMAKER E FILHOS LTDA",146385,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"2","Finep-02.04.0466.00","Finep","TERRA VIVA BIOTECNOLOGIA","terra viva biotecnologia",2004-10-18,2006-10-18,730,23.9835728952772,1,263465,"Empresa Privada","Privado orientado por política","Reembolsável","KLAAS SCHOENMAKER E FILHOS LTDA",117080,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"3","Finep-02.04.0569.00","Finep","PROJETO INTEGRADO - MASTER","projeto integrado - master",2004-11-23,2006-05-23,546,17.9383983572895,1,3677762,"Empresa Privada","Privado orientado por política","Reembolsável","MASTER SISTEMAS AUTOMOTIVOS LTDA.",2973762,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"4","Finep-02.04.0569.00","Finep","PROJETO INTEGRADO - MASTER","projeto integrado - master",2004-11-23,2006-05-23,546,17.9383983572895,1,3677762,"Empresa Privada","Privado orientado por política","Reembolsável","MASTER SISTEMAS AUTOMOTIVOS LTDA.",392000,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"5","Finep-02.04.0569.00","Finep","PROJETO INTEGRADO - MASTER","projeto integrado - master",2004-11-23,2006-05-23,546,17.9383983572895,1,3677762,"Empresa Privada","Privado orientado por política","Reembolsável","MASTER SISTEMAS AUTOMOTIVOS LTDA.",312000,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"6","Finep-02.04.0940.00","Finep","Desenvolvimento de P&D e Laboratório de Protótipos e Testes","desenvolvimento de p&d e laboratorio de prototipos e testes",2004-12-10,2006-12-10,730,23.9835728952772,1,34735383,"Empresa Privada","Privado orientado por política","Reembolsável","ITAUTEC S.A. - GRUPO ITAUTEC",3200000,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"7","Finep-02.04.0940.00","Finep","Desenvolvimento de P&D e Laboratório de Protótipos e Testes","desenvolvimento de p&d e laboratorio de prototipos e testes",2004-12-10,2006-12-10,730,23.9835728952772,1,34735383,"Empresa Privada","Privado orientado por política","Reembolsável","ITAUTEC S.A. - GRUPO ITAUTEC",3100000,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"8","Finep-02.04.0940.00","Finep","Desenvolvimento de P&D e Laboratório de Protótipos e Testes","desenvolvimento de p&d e laboratorio de prototipos e testes",2004-12-10,2006-12-10,730,23.9835728952772,1,34735383,"Empresa Privada","Privado orientado por política","Reembolsável","ITAUTEC S.A. - GRUPO ITAUTEC",5150596,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"9","Finep-02.04.0940.00","Finep","Desenvolvimento de P&D e Laboratório de Protótipos e Testes","desenvolvimento de p&d e laboratorio de prototipos e testes",2004-12-10,2006-12-10,730,23.9835728952772,1,34735383,"Empresa Privada","Privado orientado por política","Reembolsável","ITAUTEC S.A. - GRUPO ITAUTEC",9127620,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"10","Finep-02.04.0940.00","Finep","Desenvolvimento de P&D e Laboratório de Protótipos e Testes","desenvolvimento de p&d e laboratorio de prototipos e testes",2004-12-10,2006-12-10,730,23.9835728952772,1,34735383,"Empresa Privada","Privado orientado por política","Reembolsável","ITAUTEC S.A. - GRUPO ITAUTEC",5616625,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
