"","id","fonte_de_dados","data_assinatura","data_limite","duracao_dias","titulo_projeto","status_projeto","valor_contratado","valor_executado_2013_2020","nome_agente_financiador","natureza_agente_financiador","modalidade_financiamento","nome_agente_Executor","natureza_agente_executor","uf_ag_executor","regiao_ag_executor","natureza_financiamento","valor_executado_2013","valor_executado_2014","valor_executado_2015","valor_executado_2016","valor_executado_2017","valor_executado_2018","valor_executado_2019","valor_executado_2020","descricao_do_projeto2","iea1_1","iea1_2","iea1_3","iea1_4","iea2_1","iea2_2","iea2_3","iea3_1","iea3_2","iea3_3","iea3_4","iea3_5","iea3_6","iea3_7","iea4_1","iea4_2","iea5_1","iea5_2","iea6_1","iea6_2","iea6_3","iea7_1","iea7_2"
"1","Bndes-20800411","Bndes",2021-06-28,2027-12-28,2374,"CONTRATACAO DE CREDITO PARA AQUISICAO OU PRODUCAO DE MAQUINAS E EQUIPAMENTOS.","ATIVO",667886.6,0,"Bndes","empresa pública","REEMBOLSÁVEL","S A USINA CORURIPE ACUCAR E ALCOOL","PRIVADA","IE","IE","pública",NA,NA,NA,NA,NA,NA,NA,NA,"contratacao de credito para aquisicao ou producao de maquinas e equipamentos.",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"2","Bndes-20800271","Bndes",2021-06-24,2037-06-24,5844,"CONTRATACAO DE LIMITE DE CREDITO PARA FINANCIAMENTO A AQUISICAO DE MAQUINAS, EQUIPAMENTOS, MATERIAIS INDUSTRIALIZADOS E/OU DE CAPITAL DE GIRO ASSOCIADO.","ATIVO",644345,0,"Bndes","empresa pública","REEMBOLSÁVEL","WD AGROINDUSTRIAL LTDA","PRIVADA","MG","SE","pública",NA,NA,NA,NA,NA,NA,NA,NA,"contratacao de limite de credito para financiamento a aquisicao de maquinas, equipamentos, materiais industrializados e/ou de capital de giro associado.",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"3","Bndes-20800341","Bndes",2021-05-27,2037-05-27,5844,"CONTRATACAO DE LIMITE DE CREDITO PARA FINANCIAMENTO A AQUISICAO DE MAQUINAS, EQUIPAMENTOS, MATERIAIS INDUSTRIALIZADOS E/OU DE CAPITAL DE GIRO ASSOCIADO, BEM COMO COMERCIALIZACAO OUPRODUCAO DE MAQUINAS E EQUIPAMENTOS.","ATIVO",747500,0,"Bndes","empresa pública","REEMBOLSÁVEL","SCHULZ COMPRESSORES LTDA","PRIVADA","SC","S","pública",NA,NA,NA,NA,NA,NA,NA,NA,"contratacao de limite de credito para financiamento a aquisicao de maquinas, equipamentos, materiais industrializados e/ou de capital de giro associado, bem como comercializacao ouproducao de maquinas e equipamentos.",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"4","Bndes-20800021","Bndes",2021-02-08,2037-02-08,5844,"CONTRATACAO DE CREDITO PARA AQUISICAO DE MAQUINAS E EQUIPAMENTOS.","ATIVO",156000,0,"Bndes","empresa pública","REEMBOLSÁVEL","USINA CERRADAO LTDA","PRIVADA","MG","SE","pública",NA,NA,NA,NA,NA,NA,NA,NA,"contratacao de credito para aquisicao de maquinas e equipamentos.",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"5","Bndes-20800021","Bndes",2021-02-08,2037-02-08,5844,"CONTRATACAO DE CREDITO PARA AQUISICAO DE MAQUINAS E EQUIPAMENTOS.","ATIVO",1101056.87,0,"Bndes","empresa pública","REEMBOLSÁVEL","USINA CERRADAO LTDA","PRIVADA","MG","SE","pública",NA,NA,NA,NA,NA,NA,NA,NA,"contratacao de credito para aquisicao de maquinas e equipamentos.",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"6","Bndes-20902581","Bndes",2021-01-26,2023-07-26,911,"INVESTIMENTO EM PESQUISA E DESENVOLVIMENTO NO AMBITO DO BNDES-FUNTTEL.","ATIVO",20000000,0,"Bndes","empresa pública","REEMBOLSÁVEL","TERACOM TELEMATICA S.A.","PRIVADA","RS","S","pública",NA,NA,NA,NA,NA,NA,NA,NA,"investimento em pesquisa e desenvolvimento no ambito do bndes-funttel.",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"7","Bndes-20800281","Bndes",2021-01-19,2028-01-19,2556,"LIMITE DE CREDITO PARA FINANCIAMENTO A AQUISICAO DE MAQUINAS, EQUIPAMENTOS, MATERIAIS INDUSTRIALIZADOS E/OU DE CAPITAL DE GIRO ASSOCIADO.","ATIVO",8932732.26,0,"Bndes","empresa pública","REEMBOLSÁVEL","VETORE IND E COM DE AUTOPECAS LTDA","PRIVADA","PR","S","pública",NA,NA,NA,NA,NA,NA,NA,NA,"limite de credito para financiamento a aquisicao de maquinas, equipamentos, materiais industrializados e/ou de capital de giro associado.",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"8","Bndes-20204671","Bndes",2020-12-29,2032-12-29,4383,"A) PLANO DE INVESTIMENTOS EM INOVACOES DE PROCESSOS NAS QUATRO USINAS DO GRUPO SAO MARTINHO, SITUADAS EM PRADOPOLIS/SP, AMERICO BRASILENSE/SP, IRACEMAPOLIS/SP E QUIRINOPOLIS/ GO   C) CONSTRUCAO DE SILOS PARA ARMAZENAGEM DE MILHO E DDG1, NA PLANTA DE ETANOL DE MILHO EM QUIRINOPOLIS/GO","ATIVO",88000000,40155.1448779375,"Bndes","empresa pública","REEMBOLSÁVEL","SAO MARTINHO S/A","PRIVADA","SP","SE","pública",0,0,0,0,0,0,0,40155.1448779375,"a) plano de investimentos em inovacoes de processos nas quatro usinas do grupo sao martinho, situadas em pradopolis/sp, americo brasilense/sp, iracemapolis/sp e quirinopolis/ go   c) construcao de silos para armazenagem de milho e ddg1, na planta de etanol de milho em quirinopolis/go",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"9","Bndes-20204671","Bndes",2020-12-29,2040-12-29,7305,"B) IMPLANTACAO DE PLANTA DE ETANOL DE MILHO NA USINA BOA VISTA EM QUIRINOPOLIS/GO, COM CAPACIDADE DE PRODUCAO DE ATE 209MIL M DE ETANOL ANIDRO POR ANO.","ATIVO",50033000,13698.288843258,"Bndes","empresa pública","REEMBOLSÁVEL","SAO MARTINHO S/A","PRIVADA","GO","CO","pública",0,0,0,0,0,0,0,13698.288843258,"b) implantacao de planta de etanol de milho na usina boa vista em quirinopolis/go, com capacidade de producao de ate 209mil m de etanol anidro por ano.",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"10","Bndes-20800261","Bndes",2020-12-11,2036-12-11,5844,"CONTRATACAO DE LIMITE DE CREDITO PARA FINANCIAMENTO A AQUISICAO DE MAQUINAS, EQUIPAMENTOS, MATERIAIS INDUSTRIALIZADOS E/OU DE CAPITAL DE GIRO ASSOCIADO.","ATIVO",147189.05,503.727070499658,"Bndes","empresa pública","REEMBOLSÁVEL","WD AGROINDUSTRIAL LTDA","PRIVADA","MG","SE","pública",0,0,0,0,0,0,0,503.727070499658,"contratacao de limite de credito para financiamento a aquisicao de maquinas, equipamentos, materiais industrializados e/ou de capital de giro associado.",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
