"","id","titulo_projeto","categorias","cat2","existe"
"1","ANEEL-PD-00390-0003","Desenvolvimento de Sistema de Gerenciamento do Ciclo de Vida dos Ativos Operacionais Considerando a Avaliação de Confiabilidade Global Análise de Risco e Dimensionamento da Capacidade das Instalações","""6.2"", ""7.1""",7.1,"sim"
"2","ANEEL-PD-00063-0008","MEMBRANAS COMPOSITAS PARA CÉLULAS COMBUSTIVEIS","nenhuma categoria encontrada",3.7,"sim"
"3","ANEEL-PD-00063-0012","GERAÇÃO DE ENERGIA POR REJEITOS DE BANANEIRAS","nenhuma categoria encontrada",3.4,"sim"
"4","ANEEL-PD-00063-0006","PSQF - Processos de Soluções da Qualidade do Fornecimento","nenhuma categoria encontrada",6.2,"sim"
"5","ANEEL-PD-00063-0022","PLANEJAMENTO ESTRATÉGICO DO SISTEMA ELÉTRICO","7.1",7.1,"sim"
"6","ANEEL-PD-00047-0001","Estudo e Desenvolvimento de Isolador Polimérico Modular para a Rede de Distribuição de Energia Elétrica","6.2",6.2,"sim"
"7","ANEEL-PD-00047-0005","Sistema computacional para Planejamento da Manutenção de Rede de Distribuição","nenhuma categoria encontrada",NA,"não"
"8","ANEEL-PD-00383-0010","Desenvolvimento de um Transformador Eletrônico para Sistemas Elétricos em Média Tensão-TRED","6.2",NA,"não"
"9","ANEEL-PD-02866-0003","Sistema de Previsão Integrada de Mercado de Energia Elétrica","7.1",7.1,"sim"
"10","ANEEL-PD-00385-0009","Avaliação da deplexão do aditivo antioxidante no OVI, como ferramenta de manutenção preditiva em equipamentos elétricos e avaliação da migração da umidade no sistema papel Kraft/OVI","6.2",3.4,"sim"
"11","ANEEL-PD-00047-0031","Instalações subterrâneas: protótipos de transformador blindado submersível de 750 ou de1000 kVA, de câmaras de transformação e de sistemas de monitoramento de cabos isolados e de dutos.","""2.1"", ""6.2""",NA,"não"
"12","ANEEL-PD-00047-0034","Sistema de aferição de transformadores de instrumento utilizando TPs e TCs ópticos sem interrupção de fornecimento.","nenhuma categoria encontrada",6.2,"sim"
"13","ANEEL-PD-05697-7908","Aplicação de técnicas de Inteligência Artificial baseada no histórico de transformadores de potência e na análise de gases dissolvidos para diagnóstico de falhas incipientes","6.2",NA,"não"
"14","ANEEL-PD-05697-8008","Desenvolvimento de um analisador portátil de gás dissolvido em óleo para diagnóstico remoto de falhas em múltiplos transformadores de potência","""2.1"", ""6.2""",6.2,"sim"
"15","ANEEL-PD-05697-8108","Desenvolvimento de um Sistema de Medição de Temperatura em Emendas de Cabos de Alta Tensão Utilizando Transdutores RFID-SAW","""3.1"", ""6.2""",NA,"não"
