"","X","id","fonte_de_dados","data_assinatura","data_limite","duracao_dias","titulo_projeto","status_projeto","valor_contratado","valor_executado_2013_2020","nome_agente_financiador","natureza_agente_financiador","modalidade_financiamento","nome_agente_executor","natureza_agente_executor","uf_ag_executor","regiao_ag_executor","natureza_financiamento","p.d_ou_demonstracao","valor_executado_2013","valor_executado_2014","valor_executado_2015","valor_executado_2016","valor_executado_2017","valor_executado_2020","motor","categorias","cat2","existe"
"1",1,"ANEEL-PD-00390-0003","ANEEL","2009-04-07","2017-04-02",2917,"Desenvolvimento de Sistema de Gerenciamento do Ciclo de Vida dos Ativos Operacionais Considerando a Avaliação de Confiabilidade Global Análise de Risco e Dimensionamento da Capacidade das Instalações","CONCLUÍDO",2707609.9,1436880.39945149,"ELETROPAULO METROPOLITANA ELETRICIDADE DE SÃO PAULO S.A.","Empresa Privada","Não se Aplica",NA,"Empresa Privada",NA,NA,"Publicamente Orientado",NA,337871.101679808,337871.101679808,337871.101679808,338799.318992115,84467.775419952,0,"desenvolvimento de sistema de gerenciamento do ciclo de vida dos ativos operacionais considerando a avaliacao de confiabilidade global analise de risco e dimensionamento da capacidade das instalacoes distribuicao planejamento de sistemas de energia eletrica","""6.2"", ""7.1""",7.1,"sim"
"2",2,"ANEEL-PD-00063-0008","ANEEL","2009-06-16","2014-03-14",1732,"MEMBRANAS COMPOSITAS PARA CÉLULAS COMBUSTIVEIS","CONCLUÍDO",6839552,1721734.79907621,"COMPANHIA PAULISTA DE FORÇA E LUZ","Empresa Privada","Não se Aplica","COMPANHIA PAULISTA DE FORÇA E LUZ","Empresa Privada","SP","SE","Publicamente Orientado",NA,1437411.62124711,284323.177829099,0,0,0,0,"membranas compositas para celulas combustiveis geracao fontes alternativas de geracao de energia eletrica","nenhuma categoria encontrada",3.7,"sim"
"3",3,"ANEEL-PD-00063-0012","ANEEL","2009-06-16","2014-05-28",1807,"GERAÇÃO DE ENERGIA POR REJEITOS DE BANANEIRAS","CONCLUÍDO",7843361,2218017.41615938,"COMPANHIA PAULISTA DE FORÇA E LUZ","Empresa Privada","Não se Aplica","COMPANHIA PAULISTA DE FORÇA E LUZ","Empresa Privada","SP","SE","Publicamente Orientado",NA,1579957.61151079,638059.804648589,0,0,0,0,"geracao de energia por rejeitos de bananeiras distribuicao fontes alternativas de geracao de energia eletrica","nenhuma categoria encontrada",3.4,"sim"
"4",4,"ANEEL-PD-00063-0006","ANEEL","2009-06-16","2013-12-09",1637,"PSQF - Processos de Soluções da Qualidade do Fornecimento","CONCLUÍDO",7376031,1540991.20464264,"COMPANHIA PAULISTA DE FORÇA E LUZ","Empresa Privada","Não se Aplica","COMPANHIA PAULISTA DE FORÇA E LUZ","Empresa Privada","SP","SE","Publicamente Orientado",NA,1540991.20464264,0,0,0,0,0,"psqf - processos de solucoes da qualidade do fornecimento distribuicao qualidade e confiabilidade dos servicos de energia eletrica","nenhuma categoria encontrada",6.2,"sim"
"5",5,"ANEEL-PD-00063-0022","ANEEL","2009-06-18","2013-10-11",1576,"PLANEJAMENTO ESTRATÉGICO DO SISTEMA ELÉTRICO","CONCLUÍDO",1297546,232998.425126904,"COMPANHIA PAULISTA DE FORÇA E LUZ","Empresa Privada","Não se Aplica","COMPANHIA PAULISTA DE FORÇA E LUZ","Empresa Privada","SP","SE","Publicamente Orientado",NA,232998.425126904,0,0,0,0,0,"planejamento estrategico do sistema eletrico distribuicao planejamento de sistemas de energia eletrica","7.1",7.1,"sim"
"6",6,"ANEEL-PD-00047-0001","ANEEL","2009-07-28","2014-10-08",1898,"Estudo e Desenvolvimento de Isolador Polimérico Modular para a Rede de Distribuição de Energia Elétrica","CONCLUÍDO",1906372,646840.657534247,"COMPANHIA DE ELETRICIDADE DO ESTADO DA BAHIA","Empresa Privada","Não se Aplica","COMPANHIA DE ELETRICIDADE DO ESTADO DA BAHIA","Empresa Privada","BA","NE","Publicamente Orientado",NA,365605.589041096,281235.068493151,0,0,0,0,"estudo e desenvolvimento de isolador polimerico modular para a rede de distribuicao de energia eletrica distribuicao outros","6.2",6.2,"sim"
"7",7,"ANEEL-PD-00047-0005","ANEEL","2009-07-29","2013-07-29",1461,"Sistema computacional para Planejamento da Manutenção de Rede de Distribuição","CANCELADO",2722056,389397.470225873,"COMPANHIA DE ELETRICIDADE DO ESTADO DA BAHIA","Empresa Privada","Não se Aplica",NA,"Empresa Privada",NA,NA,"Publicamente Orientado",NA,389397.470225873,0,0,0,0,0,"sistema computacional para planejamento da manutencao de rede de distribuicao distribuicao outros","nenhuma categoria encontrada",NA,"não"
"8",8,"ANEEL-PD-00383-0010","ANEEL","2009-08-20","2013-08-20",1461,"Desenvolvimento de um Transformador Eletrônico para Sistemas Elétricos em Média Tensão-TRED","CANCELADO",2173300,343622.381930185,"AMPLA ENERGIA E SERVIÇOS S.A.","Empresa Privada","Não se Aplica",NA,"Empresa Privada",NA,NA,"Publicamente Orientado",NA,343622.381930185,0,0,0,0,0,"desenvolvimento de um transformador eletronico para sistemas eletricos em media tensao-tred distribuicao qualidade e confiabilidade dos servicos de energia eletrica","6.2",NA,"não"
"9",9,"ANEEL-PD-02866-0003","ANEEL","2009-08-25","2015-05-25",2099,"Sistema de Previsão Integrada de Mercado de Energia Elétrica","CONCLUÍDO",4842856,2011896.34683182,"COPEL DISTRIBUIÇÃO S.A.","Empresa Privada","Não se Aplica","COPEL DISTRIBUIÇÃO S.A.","Empresa Privada","PR","S","Publicamente Orientado",NA,839828.291567413,839828.291567413,332239.763696999,0,0,0,"sistema de previsao integrada de mercado de energia eletrica distribuicao planejamento de sistemas de energia eletrica","7.1",7.1,"sim"
"10",10,"ANEEL-PD-00385-0009","ANEEL","2010-01-11","2013-06-13",1249,"Avaliação da deplexão do aditivo antioxidante no OVI, como ferramenta de manutenção preditiva em equipamentos elétricos e avaliação da migração da umidade no sistema papel Kraft/OVI","CONCLUÍDO",1844199.92,240676.210536429,"ELEKTRO REDES S.A.","Empresa Privada","Não se Aplica",NA,"Empresa Privada",NA,NA,"Publicamente Orientado",NA,240676.210536429,0,0,0,0,0,"avaliacao da deplexao do aditivo antioxidante no ovi, como ferramenta de manutencao preditiva em equipamentos eletricos e avaliacao da migracao da umidade no sistema papel kraft/ovi distribuicao meio ambiente","6.2",3.4,"sim"
